,humidity,precipMM,tempC,windspeedKmph,HeatIndexC
35814,45,0.0,19,10,19
35815,39,0.0,20,10,20
35816,33,0.0,23,11,25
35817,28,0.0,26,12,26
35818,26,0.0,27,11,27
35819,24,0.0,29,11,28
35820,22,0.0,30,10,29
35821,24,0.0,30,10,29
35822,25,0.0,31,10,29
35823,26,0.0,30,10,28
35824,29,0.0,29,10,28
35825,32,0.0,27,10,26
35826,36,0.0,26,10,25
35827,36,0.0,24,9,25
35828,37,0.0,22,9,24
35829,38,0.0,22,8,24
35830,38,0.0,21,8,24
35831,39,0.0,21,9,21
35832,39,0.0,20,9,20
35833,39,0.0,20,8,20
35834,40,0.0,19,8,19
35835,40,0.0,19,8,19
35836,38,0.0,18,8,18
35837,36,0.0,18,8,18
35838,33,0.0,19,9,19
35839,29,0.0,20,9,20
35840,24,0.0,22,9,24
35841,20,0.0,26,9,25
35842,18,0.0,28,9,26
35843,16,0.0,30,9,28
35844,15,0.0,31,9,29
35845,17,0.0,31,8,29
35846,18,0.0,32,8,30
35847,20,0.0,31,7,29
35848,23,0.0,29,7,27
35849,27,0.0,28,7,26
35850,30,0.0,26,7,25
35851,30,0.0,24,7,24
35852,30,0.0,22,7,23
35853,30,0.0,22,7,23
35854,31,0.0,21,7,23
35855,31,0.0,21,7,21
35856,32,0.0,19,7,19
35857,33,0.0,19,7,19
35858,33,0.0,18,7,18
35859,34,0.0,19,6,19
35860,32,0.0,19,7,19
35861,31,0.0,20,7,20
35862,30,0.0,20,7,20
35863,26,0.0,22,6,24
35864,21,0.0,24,5,24
35865,17,0.0,28,4,26
35866,16,0.0,30,5,28
35867,15,0.0,31,5,29
35868,14,0.0,32,6,30
35869,15,0.0,32,6,30
35870,17,0.0,33,6,31
35871,19,0.0,32,6,30
35872,22,0.0,30,6,28
35873,26,0.0,29,5,27
35874,29,0.0,26,5,25
35875,30,0.0,25,4,24
35876,30,0.0,22,4,23
35877,31,0.0,23,3,23
35878,32,0.0,22,3,23
35879,32,0.0,21,4,21
35880,33,0.0,21,4,21
35881,33,0.0,20,4,20
35882,33,0.0,20,5,20
35883,33,0.0,19,5,19
35884,31,0.0,21,6,21
35885,28,0.0,20,6,20
35886,26,0.0,21,7,23
35887,22,0.0,23,7,24
35888,19,0.0,25,6,25
35889,15,0.0,28,6,27
35890,14,0.0,31,4,28
35891,14,0.0,32,3,30
35892,13,0.0,34,2,32
35893,16,0.0,34,2,31
35894,19,0.0,33,3,31
35895,22,0.0,33,4,31
35896,26,0.0,30,5,29
35897,29,0.0,29,6,27
35898,32,0.0,26,7,25
35899,34,0.0,25,7,25
35900,36,0.0,23,6,24
35901,38,0.0,22,5,24
35902,39,0.0,22,5,24
35903,40,0.0,21,4,24
35904,41,0.0,21,4,21
35905,41,0.0,20,4,20
35906,41,0.0,20,3,20
35907,41,0.0,19,3,19
35908,37,0.0,20,3,20
35909,34,0.0,21,4,24
35910,31,0.0,22,4,24
35911,26,0.0,23,4,24
35912,22,0.0,25,5,25
35913,18,0.0,29,5,27
35914,16,0.0,31,5,29
35915,15,0.0,32,5,30
35916,14,0.0,33,5,31
35917,17,0.0,33,3,31
35918,19,0.0,34,2,32
35919,21,0.0,33,4,31
35920,27,0.0,30,6,29
35921,33,0.0,29,6,28
35922,38,0.0,27,2,26
35923,40,0.0,25,2,25
35924,41,0.0,23,2,24
35925,42,0.0,22,2,24
35926,42,0.0,22,2,24
35927,41,0.0,21,3,24
35928,41,0.0,21,3,24
35929,40,0.0,21,3,21
35930,40,0.0,20,4,20
35931,40,0.0,19,4,19
35932,37,0.0,21,5,21
35933,34,0.0,21,7,24
35934,32,0.0,22,8,24
35935,28,0.0,23,9,24
35936,24,0.0,25,11,25
35937,20,0.0,28,12,27
35938,19,0.0,30,11,28
35939,18,0.0,31,10,29
35940,17,0.0,32,9,30
35941,18,0.0,33,7,31
35942,20,0.0,32,5,30
35943,22,0.0,31,3,29
35944,29,0.0,30,7,29
35945,35,0.0,29,2,27
35946,42,0.0,26,1,26
35947,45,0.0,24,1,25
35948,48,0.0,22,1,24
35949,50,0.0,21,1,24
35950,52,0.0,21,1,21
35951,53,0.0,20,1,20
35952,55,0.0,20,1,20
35953,53,0.0,19,2,19
35954,52,0.0,19,3,19
35955,50,0.0,19,5,19
35956,46,0.0,20,6,20
35957,41,0.0,20,6,20
35958,36,0.0,21,7,21
35959,32,0.0,22,9,24
35960,28,0.0,24,12,25
35961,24,0.0,27,9,26
35962,23,0.0,29,13,27
35963,22,0.0,31,12,29
35964,21,0.0,31,11,29
35965,24,0.0,30,11,28
35966,26,0.0,29,11,28
35967,28,0.0,30,10,28
35968,38,0.0,28,11,27
35969,47,0.0,26,11,26
35970,56,0.0,24,11,25
35971,61,0.0,22,10,25
35972,67,0.0,21,9,21
35973,73,0.0,20,7,20
35974,78,0.0,19,7,19
35975,83,0.0,18,6,18
35976,88,0.0,18,6,18
35977,89,0.0,17,6,17
35978,91,0.0,16,6,16
35979,93,0.0,16,6,16
35980,89,0.0,17,6,17
35981,85,0.0,18,5,18
35982,81,0.0,17,4,17
35983,68,0.0,19,3,19
35984,54,0.0,21,3,24
35985,40,0.0,24,2,25
35986,37,0.0,26,2,26
35987,34,0.0,27,3,27
35988,31,0.0,28,3,28
35989,32,0.0,29,4,29
35990,33,0.0,29,5,28
35991,35,0.0,28,5,27
35992,40,0.0,27,10,26
35993,45,0.0,25,10,26
35994,51,0.0,23,7,25
35995,52,0.0,22,6,24
35996,54,0.0,20,6,20
35997,55,0.0,19,5,19
35998,55,0.0,19,6,19
35999,56,0.0,18,7,18
36000,56,0.0,18,8,18
36001,55,0.0,18,8,18
36002,53,0.0,17,7,17
36003,52,0.0,17,7,17
36004,49,0.0,16,7,16
36005,46,0.0,16,8,16
36006,44,0.0,17,8,17
36007,39,0.0,18,9,18
36008,35,0.0,21,10,21
36009,31,0.0,24,11,25
36010,29,0.0,26,8,25
36011,26,0.0,28,6,27
36012,24,0.0,29,4,28
36013,24,0.0,29,4,28
36014,25,0.0,29,4,28
36015,26,0.0,30,4,28
36016,32,0.0,27,4,27
36017,37,0.0,26,4,26
36018,43,0.0,24,4,25
36019,44,0.0,23,4,24
36020,45,0.0,22,4,24
36021,46,0.0,20,4,20
36022,47,0.0,19,4,19
36023,49,0.0,19,5,19
36024,50,0.0,18,6,18
36025,51,0.0,18,6,18
36026,51,0.0,18,6,18
36027,52,0.0,18,5,18
36028,50,0.0,17,6,17
36029,48,0.0,18,7,18
36030,47,0.0,18,8,18
36031,41,0.0,19,9,19
36032,35,0.0,22,9,24
36033,29,0.0,25,10,25
36034,26,0.0,27,7,26
36035,24,0.0,29,5,28
36036,21,0.0,30,3,29
36037,22,0.0,31,3,29
36038,23,0.0,31,2,29
36039,23,0.0,31,2,29
36040,31,0.0,29,2,28
36041,39,0.0,27,6,27
36042,46,0.0,25,3,25
36043,47,0.0,24,3,25
36044,48,0.0,21,4,24
36045,48,0.0,20,5,20
36046,49,0.0,20,5,20
36047,49,0.0,19,4,19
